image_id,source_image_path,category,width,height
e72ef0fa-29fc-4298-b36b-a836692ee5eb,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000080-01_7_additional.png,jeans,512,1024
546bcb5f-4f89-4fa3-abfb-bbaf62d0c79f,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000089-01_7_additional.png,jeans,512,1024
d538ccd0-3e26-4cc7-9d57-abf8cbc191eb,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000089-02_7_additional.png,jeans,512,1024
bb58791f-32c6-4980-b44b-5247981bc275,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000089-04_7_additional.png,jeans,512,1024
e34d84b3-8cb4-435b-b1a4-070771b97064,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000089-05_7_additional.png,jeans,512,1024
04d60ef3-75b7-4cc4-9042-2698c8c6a252,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000089-17_4_full.png,jeans,512,1024
1a126dd4-74f9-404f-92e6-026abaa7af74,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000089-18_4_full.png,jeans,512,1024
2dc1397a-c50d-4e5f-8ff8-14eecc22c5da,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000089-26_7_additional.png,jeans,512,1024
f8e5ca48-aabd-4b96-9d9a-0b775895a46a,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000089-27_7_additional.png,jeans,512,1024
b23cbb57-6d1e-4e52-aabb-13198584ca53,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000089-28_1_front.png,jeans,512,1024
805aeb5b-0467-459b-9d95-dc5dc08c1ff5,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000089-29_7_additional.png,jeans,512,1024
23e842b2-5377-4d40-82c6-a64f50e7edfe,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000089-44_7_additional.png,jeans,512,1024
9f53ae4b-98e4-4b87-8813-dd060cac48b2,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000089-45_7_additional.png,jeans,512,1024
63af92cd-2d13-465c-8758-f1c8f46cfb58,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000182-01_7_additional.png,jeans,512,1024
94621b73-3230-4e6f-88ea-8cbad0e53562,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000265-01_2_side.png,jeans,512,1024
bf158623-1327-47d7-b5a3-0bfaf127fd48,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000313-01_1_front.png,jeans,512,1024
88ac9c88-3ed7-4846-bc0d-0d76813a91f2,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000353-01_7_additional.png,jeans,512,1024
9e3c29fd-7eda-46ad-947f-d698349c7335,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000565-01_7_additional.png,jeans,512,1024
93af6275-0b41-483c-8977-af6dbeb4c71e,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000826-01_1_front.png,jeans,512,1024
b5e8607f-09b7-4646-8213-7e8a8c157e05,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000826-02_7_additional.png,jeans,512,1024
5513113a-5969-4dac-9838-33bb207b4d3b,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000826-04_7_additional.png,jeans,512,1024
c979533c-b63d-44de-8180-64fc2a7b813e,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000867-01_1_front.png,jeans,512,1024
bb879e8b-a241-4c8e-a76f-981de68c9c03,C:\Users\Lakshya Hindocha\OneDrive\Desktop\StyleSync\dataset\raw\deepfashion\datasets\train_images\MEN-Denim-id_00000938-02_1_front.png,jeans,512,1024
